code	province	district	neighborhood
1111051500	서울특별시	종로구	청운효자동
1111053000	서울특별시	종로구	사직동
1111054000	서울특별시	종로구	삼청동
1111055000	서울특별시	종로구	부암동
1111056000	서울특별시	종로구	평창동
1111057000	서울특별시	종로구	무악동
1111058000	서울특별시	종로구	교남동
1111060000	서울특별시	종로구	가회동
1111061500	서울특별시	종로구	종로1.2.3.4가동
1111063000	서울특별시	종로구	종로5.6가동
1111064000	서울특별시	종로구	이화동
1111065000	서울특별시	종로구	혜화동
1111067000	서울특별시	종로구	창신제1동
1111068000	서울특별시	종로구	창신제2동
1111069000	서울특별시	종로구	창신제3동
1111070000	서울특별시	종로구	숭인제1동
1111071000	서울특별시	종로구	숭인제2동
1114052000	서울특별시	중구	소공동
1114054000	서울특별시	중구	회현동
1114055000	서울특별시	중구	명동
1114057000	서울특별시	중구	필동
1114058000	서울특별시	중구	장충동
1114059000	서울특별시	중구	광희동
1114060500	서울특별시	중구	을지로동
1114061500	서울특별시	중구	신당동
1114062500	서울특별시	중구	다산동
1114063500	서울특별시	중구	약수동
1114064500	서울특별시	중구	청구동
1114065000	서울특별시	중구	신당제5동
1114066500	서울특별시	중구	동화동
1114067000	서울특별시	중구	황학동
1114068000	서울특별시	중구	중림동
1117051000	서울특별시	용산구	후암동
1117052000	서울특별시	용산구	용산2가동
1117053000	서울특별시	용산구	남영동
1117055500	서울특별시	용산구	청파동
1117056000	서울특별시	용산구	원효로제1동
1117057000	서울특별시	용산구	원효로제2동
1117058000	서울특별시	용산구	효창동
1117059000	서울특별시	용산구	용문동
1117062500	서울특별시	용산구	한강로동
1117063000	서울특별시	용산구	이촌제1동
1117064000	서울특별시	용산구	이촌제2동
1117065000	서울특별시	용산구	이태원제1동
1117066000	서울특별시	용산구	이태원제2동
1117068500	서울특별시	용산구	한남동
1117069000	서울특별시	용산구	서빙고동
1117070000	서울특별시	용산구	보광동
1120052000	서울특별시	성동구	왕십리제2동
1120053500	서울특별시	성동구	왕십리도선동
1120054000	서울특별시	성동구	마장동
1120055000	서울특별시	성동구	사근동
1120056000	서울특별시	성동구	행당제1동
1120057000	서울특별시	성동구	행당제2동
1120058000	서울특별시	성동구	응봉동
1120059000	서울특별시	성동구	금호1가동
1120061500	서울특별시	성동구	금호2.3가동
1120062000	서울특별시	성동구	금호4가동
1120064500	서울특별시	성동구	옥수동
1120065000	서울특별시	성동구	성수1가제1동
1120066000	서울특별시	성동구	성수1가제2동
1120067000	서울특별시	성동구	성수2가제1동
1120069000	서울특별시	성동구	성수2가제3동
1120072000	서울특별시	성동구	송정동
